Exercise,Set,Rep,Weight,Metric,Set RPE,Tags,Workout Start Time,Rest Time,Concentric Avg Velocity (m/s),Concentric Range of Motion (mm),Concentric Peak Velocity (m/s),Concentric Peak Velocity Location (%),Concentric Duration of rep (sec),Concentric Force,Concentric Force Loc,Concentric Power,Concentric Power Loc,Concentric Work,Concentric Work Loc,Eccentric Avg Velocity (m/s),Eccentric Range of Motion (mm),Eccentric Peak Velocity (m/s),Eccentric Peak Velocity Location (%),Eccentric Duration of rep (sec),Eccentric Force,Eccentric Force Loc,Eccentric Power,Eccentric Power Loc,Eccentric Work,Eccentric Work Loc,
"squat",1,1,"70","kgs","","warmup","14/03/2024, 16:18:37","00:00:00",0.78,605,1.27,419,0.78,,,,,,,,,,,,,,,,,,
"squat",1,2,"70","kgs","","warmup","14/03/2024, 16:18:37","00:00:00",0.74,632,1.19,406,0.848,,,,,,,,,,,,,,,,,,
"squat",1,3,"70","kgs","","warmup","14/03/2024, 16:18:37","00:00:00",0.74,642,1.17,462,0.865,,,,,,,,,,,,,,,,,,
"squat",2,1,"120","kgs","","warmup","14/03/2024, 16:18:37","00:02:29.0",0.61,622,0.95,436,1.017,,,,,,,,,,,,,,,,,,
"squat",3,1,"150","kgs","< 5.5","primer","14/03/2024, 16:18:37","00:03:15.5",0.63,636,0.88,468,1.005,,,,,,,,,,,,,,,,,,
"squat",4,1,"140","kgs","< 5.5","backdown","14/03/2024, 16:18:37","00:02:05.2",0.66,623,0.97,464,0.948,,,,,,,,,,,,,,,,,,
"squat",4,2,"140","kgs","< 5.5","backdown","14/03/2024, 16:18:37","00:02:05.2",0.64,630,0.93,487,0.987,,,,,,,,,,,,,,,,,,
"squat",4,3,"140","kgs","< 5.5","backdown","14/03/2024, 16:18:37","00:02:05.2",0.63,647,0.90,494,1.024,,,,,,,,,,,,,,,,,,
"bench",1,1,"110","kgs","< 5.5","tertiary","14/03/2024, 16:18:37","00:17:31.1",0.30,216,0.49,161,0.714,,,,,,,,,,,,,,,,,,
"bench",1,2,"110","kgs","< 5.5","tertiary","14/03/2024, 16:18:37","00:17:31.1",0.30,216,0.51,146,0.708,,,,,,,,,,,,,,,,,,
